"OCCUPANCY_DATE","shelter_location_pair","capacity_actual_sum","capacity_funding_sum","occupied_sum","unoccupied_sum","unavailable_sum","occupancy_rate"
21-01-01,"62 - 1011",55,61,55,0,6,1
21-01-01,"3 - 1008",201,208,185,16,7,0.920398009950249
21-01-01,"16 - 1022",50,50,45,5,0,0.9
21-01-01,"24 - 1150",172,173,161,11,1,0.936046511627907
21-01-01,"24 - 1153",125,125,123,2,0,0.984
21-01-02,"62 - 1011",55,61,54,1,6,0.981818181818182
21-01-02,"3 - 1008",201,208,186,15,7,0.925373134328358
21-01-02,"16 - 1022",50,50,45,5,0,0.9
21-01-02,"24 - 1150",170,173,158,12,3,0.929411764705882
21-01-02,"24 - 1153",125,125,125,0,0,1
21-01-03,"62 - 1011",55,61,53,2,6,0.963636363636364
21-01-03,"3 - 1008",201,208,186,15,7,0.925373134328358
21-01-03,"16 - 1022",48,50,42,6,2,0.875
21-01-03,"24 - 1150",170,173,150,20,3,0.882352941176471
21-01-03,"24 - 1153",125,125,125,0,0,1
21-01-04,"62 - 1011",52,61,52,0,9,1
21-01-04,"3 - 1008",201,208,188,13,7,0.935323383084577
21-01-04,"16 - 1022",49,50,48,1,1,0.979591836734694
21-01-04,"24 - 1150",170,173,157,13,3,0.923529411764706
21-01-04,"24 - 1153",125,125,123,2,0,0.984
21-01-05,"62 - 1011",51,61,50,1,10,0.980392156862745
21-01-05,"3 - 1008",201,208,185,16,7,0.920398009950249
21-01-05,"16 - 1022",50,50,48,2,0,0.96
21-01-05,"24 - 1150",169,173,153,16,4,0.905325443786982
21-01-05,"24 - 1153",125,125,125,0,0,1
21-01-06,"62 - 1011",51,61,49,2,10,0.96078431372549
21-01-06,"3 - 1008",201,208,188,13,7,0.935323383084577
21-01-06,"16 - 1022",50,50,50,0,0,1
21-01-06,"24 - 1150",152,173,152,0,21,1
21-01-06,"24 - 1153",125,125,125,0,0,1
21-01-07,"62 - 1011",51,61,49,2,10,0.96078431372549
21-01-07,"3 - 1008",201,208,188,13,7,0.935323383084577
21-01-07,"16 - 1022",50,50,48,2,0,0.96
21-01-07,"24 - 1150",147,173,147,0,26,1
21-01-07,"24 - 1153",125,125,123,2,0,0.984
21-01-08,"62 - 1011",52,61,49,3,9,0.942307692307692
21-01-08,"3 - 1008",201,208,188,13,7,0.935323383084577
21-01-08,"16 - 1022",50,50,50,0,0,1
21-01-08,"24 - 1150",144,173,144,0,29,1
21-01-08,"24 - 1153",125,125,124,1,0,0.992
21-01-09,"62 - 1011",53,61,52,1,8,0.981132075471698
21-01-09,"3 - 1008",201,208,189,12,7,0.940298507462687
21-01-09,"16 - 1022",50,50,50,0,0,1
21-01-09,"24 - 1150",139,173,139,0,34,1
21-01-09,"24 - 1153",125,125,123,2,0,0.984
21-01-10,"62 - 1011",53,61,52,1,8,0.981132075471698
21-01-10,"3 - 1008",201,208,184,17,7,0.915422885572139
21-01-10,"16 - 1022",50,50,48,2,0,0.96
21-01-10,"24 - 1150",132,173,131,1,41,0.992424242424242
21-01-10,"24 - 1153",125,125,123,2,0,0.984
21-01-11,"62 - 1011",52,61,52,0,9,1
21-01-11,"3 - 1008",201,208,184,17,7,0.915422885572139
21-01-11,"16 - 1022",50,50,48,2,0,0.96
21-01-11,"24 - 1150",128,173,128,0,45,1
21-01-11,"24 - 1153",125,125,124,1,0,0.992
21-01-12,"62 - 1011",52,61,52,0,9,1
21-01-12,"3 - 1008",201,208,180,21,7,0.895522388059702
21-01-12,"16 - 1022",50,50,47,3,0,0.94
21-01-12,"24 - 1150",126,173,126,0,47,1
21-01-12,"24 - 1153",125,125,125,0,0,1
21-01-13,"62 - 1011",53,61,53,0,8,1
21-01-13,"3 - 1008",200,208,178,22,8,0.89
21-01-13,"16 - 1022",50,50,48,2,0,0.96
21-01-13,"24 - 1150",123,173,123,0,50,1
21-01-13,"24 - 1153",125,125,124,1,0,0.992
21-01-14,"62 - 1011",53,61,52,1,8,0.981132075471698
21-01-14,"3 - 1008",202,208,177,25,6,0.876237623762376
21-01-14,"16 - 1022",50,50,50,0,0,1
21-01-14,"24 - 1150",119,173,119,0,54,1
21-01-14,"24 - 1153",125,125,125,0,0,1
21-01-15,"62 - 1011",55,61,48,7,6,0.872727272727273
21-01-15,"3 - 1008",201,208,176,25,7,0.875621890547264
21-01-15,"16 - 1022",50,50,49,1,0,0.98
21-01-15,"24 - 1150",118,173,118,0,55,1
21-01-15,"24 - 1153",125,125,124,1,0,0.992
21-01-16,"62 - 1011",55,61,41,14,6,0.745454545454545
21-01-16,"3 - 1008",201,208,176,25,7,0.875621890547264
